n,pts_time,fps,frame_idx
0,0.0,25.0,0
1,0.4,25.0,10
2,0.76,25.0,19
3,0.8,25.0,20
4,1.08,25.0,27
5,1.32,25.0,33
6,1.36,25.0,34
7,1.92,25.0,48
8,2.48,25.0,62
9,2.52,25.0,63
10,2.8,25.0,70
11,3.04,25.0,76
12,3.08,25.0,77
13,3.2,25.0,80
14,3.32,25.0,83
15,3.36,25.0,84
16,3.4,25.0,85
17,3.44,25.0,86
18,3.48,25.0,87
19,3.88,25.0,97
20,4.28,25.0,107
21,4.32,25.0,108
22,5.36,25.0,134
23,6.36,25.0,159
24,6.4,25.0,160
25,6.52,25.0,163
26,6.64,25.0,166
27,6.68,25.0,167
28,6.96,25.0,174
29,7.2,25.0,180
30,7.24,25.0,181
31,8.2,25.0,205
32,9.16,25.0,229
33,9.2,25.0,230
34,9.4,25.0,235
35,9.6,25.0,240
36,9.64,25.0,241
37,9.96,25.0,249
38,10.28,25.0,257
39,10.32,25.0,258
40,10.44,25.0,261
41,10.52,25.0,263
42,10.56,25.0,264
43,11.24,25.0,281
44,11.92,25.0,298
45,11.96,25.0,299
46,13.52,25.0,338
47,15.04,25.0,376
48,15.08,25.0,377
49,15.92,25.0,398
50,16.72,25.0,418
51,16.76,25.0,419
52,17.48,25.0,437
53,18.16,25.0,454
54,18.2,25.0,455
55,19.28,25.0,482
56,20.36,25.0,509
57,20.4,25.0,510
58,22.52,25.0,563
59,24.6,25.0,615
60,24.64,25.0,616
61,26.76,25.0,669
62,28.88,25.0,722
63,28.92,25.0,723
64,29.56,25.0,739
65,30.16,25.0,754
66,30.2,25.0,755
67,31.12,25.0,778
68,32.04,25.0,801
69,32.08,25.0,802
70,34.0,25.0,850
71,35.88,25.0,897
72,35.92,25.0,898
73,39.52,25.0,988
74,43.08,25.0,1077
75,43.12,25.0,1078
76,44.08,25.0,1102
77,45.0,25.0,1125
78,45.04,25.0,1126
79,45.68,25.0,1142
80,46.28,25.0,1157
81,46.32,25.0,1158
82,47.04,25.0,1176
83,47.76,25.0,1194
84,47.8,25.0,1195
85,48.68,25.0,1217
86,49.52,25.0,1238
87,49.56,25.0,1239
88,51.0,25.0,1275
89,52.44,25.0,1311
90,52.48,25.0,1312
91,54.92,25.0,1373
92,57.32,25.0,1433
93,57.36,25.0,1434
94,59.36,25.0,1484
95,61.36,25.0,1534
96,61.4,25.0,1535
97,64.88,25.0,1622
98,68.32,25.0,1708
99,68.36,25.0,1709
100,71.96,25.0,1799
101,75.52,25.0,1888
102,75.56,25.0,1889
103,76.68,25.0,1917
104,77.8,25.0,1945
105,77.84,25.0,1946
106,80.08,25.0,2002
107,82.32,25.0,2058
108,82.36,25.0,2059
109,83.04,25.0,2076
110,83.68,25.0,2092
111,83.72,25.0,2093
112,84.44,25.0,2111
113,85.12,25.0,2128
114,85.16,25.0,2129
115,86.32,25.0,2158
116,87.44,25.0,2186
117,87.48,25.0,2187
118,88.92,25.0,2223
119,90.36,25.0,2259
120,90.4,25.0,2260
121,91.52,25.0,2288
122,92.64,25.0,2316
123,92.68,25.0,2317
124,93.44,25.0,2336
125,94.16,25.0,2354
126,94.2,25.0,2355
127,95.56,25.0,2389
128,96.92,25.0,2423
129,96.96,25.0,2424
130,98.44,25.0,2461
131,99.88,25.0,2497
132,99.92,25.0,2498
133,100.52,25.0,2513
134,101.12,25.0,2528
135,101.16,25.0,2529
136,101.84,25.0,2546
137,102.52,25.0,2563
138,102.56,25.0,2564
139,102.68,25.0,2567
140,102.76,25.0,2569
141,102.8,25.0,2570
142,103.6,25.0,2590
143,104.36,25.0,2609
144,104.4,25.0,2610
145,105.0,25.0,2625
146,105.6,25.0,2640
147,105.64,25.0,2641
148,106.4,25.0,2660
149,107.16,25.0,2679
150,107.2,25.0,2680
151,107.96,25.0,2699
152,108.68,25.0,2717
153,108.72,25.0,2718
154,109.92,25.0,2748
155,111.12,25.0,2778
156,111.16,25.0,2779
157,111.96,25.0,2799
158,112.76,25.0,2819
159,112.8,25.0,2820
160,113.64,25.0,2841
161,114.48,25.0,2862
162,114.52,25.0,2863
163,115.16,25.0,2879
164,115.8,25.0,2895
165,115.84,25.0,2896
166,117.0,25.0,2925
167,118.12,25.0,2953
168,118.16,25.0,2954
169,120.64,25.0,3016
170,123.12,25.0,3078
171,123.16,25.0,3079
172,123.96,25.0,3099
173,124.76,25.0,3119
174,124.8,25.0,3120
175,126.04,25.0,3151
176,127.24,25.0,3181
177,127.28,25.0,3182
178,128.12,25.0,3203
179,128.96,25.0,3224
180,129.0,25.0,3225
181,129.84,25.0,3246
182,130.68,25.0,3267
183,130.72,25.0,3268
184,131.48,25.0,3287
185,132.2,25.0,3305
186,132.24,25.0,3306
187,133.52,25.0,3338
188,134.76,25.0,3369
189,134.8,25.0,3370
190,136.36,25.0,3409
191,137.88,25.0,3447
192,137.92,25.0,3448
193,139.36,25.0,3484
194,140.76,25.0,3519
195,140.8,25.0,3520
196,141.72,25.0,3543
197,142.6,25.0,3565
198,142.64,25.0,3566
199,143.8,25.0,3595
200,144.92,25.0,3623
201,144.96,25.0,3624
202,147.0,25.0,3675
203,149.0,25.0,3725
204,149.04,25.0,3726
205,150.68,25.0,3767
206,152.32,25.0,3808
207,152.36,25.0,3809
208,153.16,25.0,3829
209,153.92,25.0,3848
210,153.96,25.0,3849
211,154.76,25.0,3869
212,155.52,25.0,3888
213,155.56,25.0,3889
214,157.12,25.0,3928
215,158.64,25.0,3966
216,158.68,25.0,3967
217,159.76,25.0,3994
218,160.84,25.0,4021
219,160.88,25.0,4022
220,161.72,25.0,4043
221,162.56,25.0,4064
222,162.6,25.0,4065
223,163.88,25.0,4097
224,165.12,25.0,4128
225,165.16,25.0,4129
226,166.08,25.0,4152
227,167.0,25.0,4175
228,167.04,25.0,4176
229,167.4,25.0,4185
230,167.76,25.0,4194
231,167.8,25.0,4195
232,167.96,25.0,4199
233,168.12,25.0,4203
234,168.16,25.0,4204
235,169.72,25.0,4243
236,171.24,25.0,4281
237,171.28,25.0,4282
238,173.0,25.0,4325
239,174.72,25.0,4368
240,174.76,25.0,4369
241,176.08,25.0,4402
242,177.4,25.0,4435
243,177.44,25.0,4436
244,177.64,25.0,4441
245,177.84,25.0,4446
246,177.88,25.0,4447
247,178.52,25.0,4463
248,179.16,25.0,4479
249,179.36,25.0,4484
250,180.2,25.0,4505
251,181.04,25.0,4526
252,181.08,25.0,4527
253,182.72,25.0,4568
254,184.36,25.0,4609
255,184.4,25.0,4610
256,185.04,25.0,4626
257,185.64,25.0,4641
258,185.68,25.0,4642
259,186.84,25.0,4671
260,188.0,25.0,4700
261,188.04,25.0,4701
262,188.88,25.0,4722
263,189.68,25.0,4742
264,189.72,25.0,4743
265,191.68,25.0,4792
266,193.6,25.0,4840
267,193.64,25.0,4841
268,194.88,25.0,4872
269,196.08,25.0,4902
270,196.12,25.0,4903
271,197.32,25.0,4933
272,198.48,25.0,4962
273,198.52,25.0,4963
274,200.0,25.0,5000
275,201.44,25.0,5036
276,201.48,25.0,5037
277,203.32,25.0,5083
278,205.12,25.0,5128
279,205.16,25.0,5129
280,207.76,25.0,5194
281,210.36,25.0,5259
282,210.4,25.0,5260
283,214.16,25.0,5354
284,217.92,25.0,5448
285,217.96,25.0,5449
286,219.12,25.0,5478
287,220.28,25.0,5507
288,220.32,25.0,5508
289,222.28,25.0,5557
290,224.24,25.0,5606
291,224.28,25.0,5607
292,225.16,25.0,5629
293,226.0,25.0,5650
294,226.04,25.0,5651
295,229.92,25.0,5748
296,233.76,25.0,5844
297,233.8,25.0,5845
298,234.68,25.0,5867
299,235.52,25.0,5888
300,235.56,25.0,5889
301,236.52,25.0,5913
302,237.44,25.0,5936
303,237.48,25.0,5937
304,238.52,25.0,5963
305,239.56,25.0,5989
