n,pts_time,fps,frame_idx
0,0.0,30.0,0
1,0.13,30.0,4
2,0.23,30.0,7
3,0.27,30.0,8
4,1.03,30.0,31
5,1.8,30.0,54
6,1.83,30.0,55
7,8.7,30.0,261
8,15.57,30.0,467
9,15.6,30.0,468
10,16.0,30.0,480
11,16.4,30.0,492
12,16.43,30.0,493
13,17.13,30.0,514
14,17.8,30.0,534
15,17.83,30.0,535
16,18.4,30.0,552
17,18.97,30.0,569
18,19.0,30.0,570
19,19.6,30.0,588
20,20.17,30.0,605
21,20.2,30.0,606
22,20.83,30.0,625
23,21.47,30.0,644
24,21.5,30.0,645
25,22.2,30.0,666
26,22.87,30.0,686
27,22.9,30.0,687
28,23.5,30.0,705
29,24.07,30.0,722
30,24.1,30.0,723
31,24.7,30.0,741
32,25.27,30.0,758
33,25.3,30.0,759
34,25.93,30.0,778
35,26.53,30.0,796
36,26.57,30.0,797
37,27.2,30.0,816
38,27.83,30.0,835
39,27.87,30.0,836
40,30.37,30.0,911
41,32.83,30.0,985
42,32.87,30.0,986
43,33.7,30.0,1011
44,34.53,30.0,1036
45,34.57,30.0,1037
46,35.43,30.0,1063
47,36.27,30.0,1088
48,36.3,30.0,1089
49,37.03,30.0,1111
50,37.77,30.0,1133
51,37.8,30.0,1134
52,38.43,30.0,1153
53,39.07,30.0,1172
54,39.1,30.0,1173
55,40.03,30.0,1201
56,40.97,30.0,1229
57,41.0,30.0,1230
58,55.1,30.0,1653
59,69.2,30.0,2076
60,69.23,30.0,2077
61,69.37,30.0,2081
62,69.47,30.0,2084
63,69.5,30.0,2085
64,70.6,30.0,2118
65,71.67,30.0,2150
66,71.7,30.0,2151
67,72.77,30.0,2183
68,73.83,30.0,2215
69,73.87,30.0,2216
70,74.87,30.0,2246
71,75.87,30.0,2276
72,75.9,30.0,2277
73,76.87,30.0,2306
74,77.83,30.0,2335
75,77.87,30.0,2336
76,78.87,30.0,2366
77,79.83,30.0,2395
78,79.87,30.0,2396
79,80.77,30.0,2423
80,81.63,30.0,2449
81,81.67,30.0,2450
82,84.17,30.0,2525
83,86.63,30.0,2599
84,86.67,30.0,2600
85,87.77,30.0,2633
86,88.87,30.0,2666
87,88.9,30.0,2667
88,90.47,30.0,2714
89,92.03,30.0,2761
90,92.07,30.0,2762
91,93.47,30.0,2804
92,94.83,30.0,2845
93,94.87,30.0,2846
94,96.13,30.0,2884
95,97.37,30.0,2921
96,97.4,30.0,2922
97,98.1,30.0,2943
98,98.8,30.0,2964
99,98.83,30.0,2965
100,99.57,30.0,2987
101,100.27,30.0,3008
102,100.3,30.0,3009
103,101.33,30.0,3040
104,102.37,30.0,3071
105,102.4,30.0,3072
106,103.57,30.0,3107
107,104.73,30.0,3142
108,104.77,30.0,3143
109,106.17,30.0,3185
110,107.53,30.0,3226
111,107.57,30.0,3227
112,108.97,30.0,3269
113,110.33,30.0,3310
114,110.37,30.0,3311
115,111.67,30.0,3350
116,112.97,30.0,3389
117,113.0,30.0,3390
118,113.67,30.0,3410
119,114.33,30.0,3430
120,114.37,30.0,3431
121,115.67,30.0,3470
122,116.93,30.0,3508
123,116.97,30.0,3509
124,117.9,30.0,3537
125,118.83,30.0,3565
126,118.87,30.0,3566
127,119.87,30.0,3596
128,120.83,30.0,3625
129,120.87,30.0,3626
130,121.57,30.0,3647
131,122.23,30.0,3667
132,122.27,30.0,3668
133,123.47,30.0,3704
134,124.67,30.0,3740
135,124.7,30.0,3741
136,126.07,30.0,3782
137,127.4,30.0,3822
138,127.43,30.0,3823
139,129.1,30.0,3873
140,130.73,30.0,3922
141,130.77,30.0,3923
142,136.5,30.0,4095
143,142.2,30.0,4266
144,142.23,30.0,4267
145,143.53,30.0,4306
146,144.83,30.0,4345
147,144.87,30.0,4346
148,145.77,30.0,4373
149,146.63,30.0,4399
150,146.67,30.0,4400
151,147.97,30.0,4439
152,149.23,30.0,4477
153,149.27,30.0,4478
154,151.77,30.0,4553
155,154.23,30.0,4627
156,154.27,30.0,4628
157,155.73,30.0,4672
158,157.17,30.0,4715
159,157.2,30.0,4716
160,159.2,30.0,4776
161,161.17,30.0,4835
162,161.2,30.0,4836
163,162.13,30.0,4864
164,163.07,30.0,4892
165,163.1,30.0,4893
166,165.23,30.0,4957
167,167.33,30.0,5020
168,167.37,30.0,5021
169,174.57,30.0,5237
170,181.77,30.0,5453
171,181.8,30.0,5454
172,185.27,30.0,5558
173,188.73,30.0,5662
174,188.77,30.0,5663
175,190.1,30.0,5703
176,191.43,30.0,5743
177,191.47,30.0,5744
178,193.03,30.0,5791
179,194.6,30.0,5838
180,194.63,30.0,5839
181,195.97,30.0,5879
182,197.27,30.0,5918
183,197.3,30.0,5919
184,197.87,30.0,5936
185,198.4,30.0,5952
186,198.43,30.0,5953
187,200.33,30.0,6010
188,202.2,30.0,6066
189,202.23,30.0,6067
190,213.33,30.0,6400
191,224.4,30.0,6732
192,224.43,30.0,6733
193,225.43,30.0,6763
194,226.43,30.0,6793
195,226.47,30.0,6794
196,228.0,30.0,6840
197,229.53,30.0,6886
198,229.57,30.0,6887
199,231.07,30.0,6932
200,232.57,30.0,6977
201,232.6,30.0,6978
