n,pts_time,fps,frame_idx
0,0.0,25.0,0
1,0.4,25.0,10
2,0.76,25.0,19
3,0.8,25.0,20
4,1.08,25.0,27
5,1.32,25.0,33
6,1.36,25.0,34
7,1.92,25.0,48
8,2.48,25.0,62
9,2.52,25.0,63
10,2.8,25.0,70
11,3.04,25.0,76
12,3.08,25.0,77
13,3.24,25.0,81
14,3.36,25.0,84
15,3.48,25.0,87
16,3.88,25.0,97
17,4.28,25.0,107
18,4.32,25.0,108
19,5.36,25.0,134
20,6.36,25.0,159
21,6.4,25.0,160
22,6.52,25.0,163
23,6.64,25.0,166
24,6.68,25.0,167
25,6.96,25.0,174
26,7.2,25.0,180
27,7.24,25.0,181
28,8.24,25.0,206
29,9.2,25.0,230
30,9.24,25.0,231
31,9.44,25.0,236
32,9.6,25.0,240
33,9.64,25.0,241
34,9.96,25.0,249
35,10.28,25.0,257
36,10.32,25.0,258
37,10.44,25.0,261
38,10.52,25.0,263
39,10.56,25.0,264
40,11.24,25.0,281
41,11.92,25.0,298
42,11.96,25.0,299
43,12.72,25.0,318
44,13.44,25.0,336
45,13.48,25.0,337
46,15.16,25.0,379
47,16.8,25.0,420
48,16.84,25.0,421
49,18.12,25.0,453
50,19.36,25.0,484
51,19.4,25.0,485
52,22.48,25.0,562
53,25.52,25.0,638
54,25.56,25.0,639
55,27.04,25.0,676
56,28.52,25.0,713
57,28.56,25.0,714
58,29.36,25.0,734
59,30.16,25.0,754
60,30.2,25.0,755
61,32.36,25.0,809
62,34.52,25.0,863
63,34.56,25.0,864
64,37.04,25.0,926
65,39.52,25.0,988
66,39.56,25.0,989
67,40.2,25.0,1005
68,40.84,25.0,1021
69,40.88,25.0,1022
70,41.76,25.0,1044
71,42.6,25.0,1065
72,42.64,25.0,1066
73,44.76,25.0,1119
74,46.84,25.0,1171
75,46.88,25.0,1172
76,49.48,25.0,1237
77,52.08,25.0,1302
78,52.12,25.0,1303
79,53.96,25.0,1349
80,55.76,25.0,1394
81,55.8,25.0,1395
82,59.32,25.0,1483
83,62.8,25.0,1570
84,62.84,25.0,1571
85,65.96,25.0,1649
86,69.04,25.0,1726
87,69.08,25.0,1727
88,70.08,25.0,1752
89,71.08,25.0,1777
90,71.12,25.0,1778
91,71.88,25.0,1797
92,72.64,25.0,1816
93,72.68,25.0,1817
94,74.0,25.0,1850
95,75.32,25.0,1883
96,75.36,25.0,1884
97,76.76,25.0,1919
98,78.12,25.0,1953
99,78.16,25.0,1954
100,79.56,25.0,1989
101,80.96,25.0,2024
102,81.0,25.0,2025
103,82.48,25.0,2062
104,83.96,25.0,2099
105,84.0,25.0,2100
106,84.12,25.0,2103
107,84.2,25.0,2105
108,84.24,25.0,2106
109,85.56,25.0,2139
110,86.88,25.0,2172
111,86.92,25.0,2173
112,88.04,25.0,2201
113,89.16,25.0,2229
114,89.2,25.0,2230
115,89.88,25.0,2247
116,90.52,25.0,2263
117,90.56,25.0,2264
118,91.64,25.0,2291
119,92.68,25.0,2317
120,92.72,25.0,2318
121,94.36,25.0,2359
122,95.96,25.0,2399
123,96.0,25.0,2400
124,96.6,25.0,2415
125,97.16,25.0,2429
126,97.2,25.0,2430
127,97.96,25.0,2449
128,98.68,25.0,2467
129,98.72,25.0,2468
130,99.24,25.0,2481
131,99.72,25.0,2493
132,99.76,25.0,2494
133,100.92,25.0,2523
134,102.04,25.0,2551
135,102.08,25.0,2552
136,103.0,25.0,2575
137,103.88,25.0,2597
138,103.92,25.0,2598
139,106.2,25.0,2655
140,108.48,25.0,2712
141,108.52,25.0,2713
142,109.36,25.0,2734
143,110.2,25.0,2755
144,110.24,25.0,2756
145,112.48,25.0,2812
146,114.68,25.0,2867
147,114.72,25.0,2868
148,115.6,25.0,2890
149,116.48,25.0,2912
150,116.52,25.0,2913
151,117.44,25.0,2936
152,118.32,25.0,2958
153,118.36,25.0,2959
154,119.2,25.0,2980
155,120.04,25.0,3001
156,120.08,25.0,3002
157,120.6,25.0,3015
158,121.08,25.0,3027
159,121.12,25.0,3028
160,122.08,25.0,3052
161,123.0,25.0,3075
162,123.04,25.0,3076
163,124.08,25.0,3102
164,125.12,25.0,3128
165,125.16,25.0,3129
166,125.8,25.0,3145
167,126.4,25.0,3160
168,126.44,25.0,3161
169,127.48,25.0,3187
170,128.52,25.0,3213
171,128.56,25.0,3214
172,131.12,25.0,3278
173,133.68,25.0,3342
174,133.72,25.0,3343
175,135.04,25.0,3376
176,136.36,25.0,3409
177,136.4,25.0,3410
178,137.68,25.0,3442
179,138.96,25.0,3474
180,139.0,25.0,3475
181,139.68,25.0,3492
182,140.32,25.0,3508
183,140.36,25.0,3509
184,141.32,25.0,3533
185,142.28,25.0,3557
186,142.32,25.0,3558
187,143.48,25.0,3587
188,144.6,25.0,3615
189,144.64,25.0,3616
190,145.72,25.0,3643
191,146.76,25.0,3669
192,146.8,25.0,3670
193,147.56,25.0,3689
194,148.28,25.0,3707
195,148.32,25.0,3708
196,148.92,25.0,3723
197,149.52,25.0,3738
198,149.56,25.0,3739
199,150.8,25.0,3770
200,152.04,25.0,3801
201,152.08,25.0,3802
202,153.36,25.0,3834
203,154.6,25.0,3865
204,154.64,25.0,3866
205,155.64,25.0,3891
206,156.64,25.0,3916
207,156.68,25.0,3917
208,157.84,25.0,3946
209,158.96,25.0,3974
210,159.0,25.0,3975
211,159.56,25.0,3989
212,160.12,25.0,4003
213,160.16,25.0,4004
214,160.6,25.0,4015
215,161.04,25.0,4026
216,161.08,25.0,4027
217,161.6,25.0,4040
218,162.08,25.0,4052
219,162.12,25.0,4053
220,162.8,25.0,4070
221,163.44,25.0,4086
222,163.48,25.0,4087
223,164.68,25.0,4117
224,165.88,25.0,4147
225,165.92,25.0,4148
226,166.88,25.0,4172
227,167.84,25.0,4196
228,167.88,25.0,4197
229,168.48,25.0,4212
230,169.04,25.0,4226
231,169.08,25.0,4227
232,172.2,25.0,4305
233,175.32,25.0,4383
234,175.36,25.0,4384
235,176.4,25.0,4410
236,177.4,25.0,4435
237,177.44,25.0,4436
238,178.2,25.0,4455
239,178.92,25.0,4473
240,178.96,25.0,4474
241,179.92,25.0,4498
242,180.88,25.0,4522
243,180.92,25.0,4523
244,181.56,25.0,4539
245,182.2,25.0,4555
246,182.24,25.0,4556
247,183.4,25.0,4585
248,184.56,25.0,4614
249,184.6,25.0,4615
250,185.28,25.0,4632
251,185.96,25.0,4649
252,186.0,25.0,4650
253,186.8,25.0,4670
254,187.56,25.0,4689
255,187.6,25.0,4690
256,189.28,25.0,4732
257,190.92,25.0,4773
258,190.96,25.0,4774
259,191.36,25.0,4784
260,191.76,25.0,4794
261,191.8,25.0,4795
262,193.44,25.0,4836
263,195.08,25.0,4877
264,195.12,25.0,4878
265,196.6,25.0,4915
266,198.04,25.0,4951
267,198.08,25.0,4952
268,199.24,25.0,4981
269,200.4,25.0,5010
270,200.44,25.0,5011
271,202.16,25.0,5054
272,203.88,25.0,5097
273,203.92,25.0,5098
274,205.44,25.0,5136
275,206.92,25.0,5173
276,206.96,25.0,5174
277,208.4,25.0,5210
278,209.84,25.0,5246
279,209.88,25.0,5247
280,211.44,25.0,5286
281,212.96,25.0,5324
282,213.0,25.0,5325
283,214.72,25.0,5368
284,216.44,25.0,5411
285,216.48,25.0,5412
286,217.72,25.0,5443
287,218.96,25.0,5474
288,219.0,25.0,5475
289,219.92,25.0,5498
290,220.84,25.0,5521
291,220.88,25.0,5522
292,221.48,25.0,5537
293,222.04,25.0,5551
294,222.08,25.0,5552
295,223.76,25.0,5594
296,225.4,25.0,5635
297,225.44,25.0,5636
298,226.24,25.0,5656
299,227.0,25.0,5675
300,227.04,25.0,5676
301,227.44,25.0,5686
302,227.8,25.0,5695
303,227.84,25.0,5696
304,228.44,25.0,5711
305,229.04,25.0,5726
