n,pts_time,fps,frame_idx
0,0.0,30.0,0
1,0.13,30.0,4
2,0.27,30.0,8
3,0.3,30.0,9
4,1.0,30.0,30
5,1.67,30.0,50
6,1.7,30.0,51
7,7.0,30.0,210
8,12.27,30.0,368
9,12.3,30.0,369
10,12.73,30.0,382
11,13.13,30.0,394
12,13.17,30.0,395
13,13.83,30.0,415
14,14.5,30.0,435
15,14.53,30.0,436
16,15.3,30.0,459
17,16.07,30.0,482
18,16.1,30.0,483
19,16.93,30.0,508
20,17.73,30.0,532
21,17.77,30.0,533
22,18.53,30.0,556
23,19.27,30.0,578
24,19.3,30.0,579
25,19.73,30.0,592
26,20.13,30.0,604
27,20.17,30.0,605
28,20.97,30.0,629
29,21.73,30.0,652
30,21.77,30.0,653
31,22.67,30.0,680
32,23.53,30.0,706
33,23.57,30.0,707
34,24.3,30.0,729
35,25.0,30.0,750
36,25.03,30.0,751
37,25.57,30.0,767
38,26.1,30.0,783
39,26.13,30.0,784
40,27.07,30.0,812
41,28.0,30.0,840
42,28.03,30.0,841
43,28.9,30.0,867
44,29.73,30.0,892
45,29.83,30.0,895
46,30.73,30.0,922
47,31.6,30.0,948
48,31.63,30.0,949
49,38.77,30.0,1163
50,45.87,30.0,1376
51,45.9,30.0,1377
52,46.97,30.0,1409
53,48.0,30.0,1440
54,48.03,30.0,1441
55,49.17,30.0,1475
56,50.3,30.0,1509
57,50.33,30.0,1510
58,51.83,30.0,1555
59,53.33,30.0,1600
60,53.37,30.0,1601
61,54.9,30.0,1647
62,56.4,30.0,1692
63,56.43,30.0,1693
64,59.53,30.0,1786
65,62.63,30.0,1879
66,62.67,30.0,1880
67,64.0,30.0,1920
68,65.3,30.0,1959
69,65.33,30.0,1960
70,66.53,30.0,1996
71,67.73,30.0,2032
72,67.77,30.0,2033
73,68.97,30.0,2069
74,70.13,30.0,2104
75,70.17,30.0,2105
76,71.4,30.0,2142
77,72.6,30.0,2178
78,72.63,30.0,2179
79,77.37,30.0,2321
80,82.07,30.0,2462
81,82.1,30.0,2463
82,83.83,30.0,2515
83,85.53,30.0,2566
84,85.57,30.0,2567
85,87.27,30.0,2618
86,88.93,30.0,2668
87,88.97,30.0,2669
88,90.63,30.0,2719
89,92.27,30.0,2768
90,92.3,30.0,2769
91,94.0,30.0,2820
92,95.7,30.0,2871
93,95.73,30.0,2872
94,97.53,30.0,2926
95,99.33,30.0,2980
96,99.37,30.0,2981
97,101.2,30.0,3036
98,103.0,30.0,3090
99,103.03,30.0,3091
100,104.33,30.0,3130
101,105.63,30.0,3169
102,105.67,30.0,3170
103,113.07,30.0,3392
104,120.47,30.0,3614
105,120.5,30.0,3615
106,122.33,30.0,3670
107,124.13,30.0,3724
108,124.17,30.0,3725
109,126.1,30.0,3783
110,128.0,30.0,3840
111,128.03,30.0,3841
112,129.93,30.0,3898
113,131.8,30.0,3954
114,131.83,30.0,3955
115,133.87,30.0,4016
116,135.87,30.0,4076
117,135.9,30.0,4077
118,137.97,30.0,4139
119,140.03,30.0,4201
120,140.07,30.0,4202
121,142.1,30.0,4263
122,144.13,30.0,4324
123,144.17,30.0,4325
124,146.23,30.0,4387
125,148.3,30.0,4449
126,148.33,30.0,4450
127,150.43,30.0,4513
128,152.5,30.0,4575
129,152.53,30.0,4576
130,154.43,30.0,4633
131,156.33,30.0,4690
132,156.37,30.0,4691
133,158.23,30.0,4747
134,160.1,30.0,4803
135,160.13,30.0,4804
136,162.0,30.0,4860
137,163.83,30.0,4915
138,163.87,30.0,4916
139,165.7,30.0,4971
140,167.53,30.0,5026
141,167.57,30.0,5027
142,169.5,30.0,5085
143,171.43,30.0,5143
144,171.47,30.0,5144
145,173.37,30.0,5201
146,175.27,30.0,5258
147,175.3,30.0,5259
148,177.1,30.0,5313
149,178.9,30.0,5367
150,178.93,30.0,5368
151,180.97,30.0,5429
152,183.0,30.0,5490
153,183.03,30.0,5491
154,187.07,30.0,5612
155,191.07,30.0,5732
156,191.1,30.0,5733
157,192.9,30.0,5787
158,194.7,30.0,5841
159,194.73,30.0,5842
160,195.63,30.0,5869
161,196.53,30.0,5896
162,196.57,30.0,5897
163,197.47,30.0,5924
164,198.33,30.0,5950
165,198.37,30.0,5951
166,198.93,30.0,5968
167,199.47,30.0,5984
168,199.5,30.0,5985
169,200.13,30.0,6004
170,200.73,30.0,6022
171,200.77,30.0,6023
172,202.13,30.0,6064
173,203.5,30.0,6105
174,203.53,30.0,6106
175,205.43,30.0,6163
176,207.3,30.0,6219
177,207.33,30.0,6220
178,210.23,30.0,6307
179,213.13,30.0,6394
180,213.17,30.0,6395
181,214.4,30.0,6432
182,215.6,30.0,6468
183,215.63,30.0,6469
184,216.03,30.0,6481
185,216.4,30.0,6492
186,216.43,30.0,6493
187,217.1,30.0,6513
188,217.73,30.0,6532
189,217.77,30.0,6533
190,218.53,30.0,6556
191,219.27,30.0,6578
192,219.3,30.0,6579
193,219.67,30.0,6590
194,220.03,30.0,6601
195,220.07,30.0,6602
196,224.47,30.0,6734
197,228.83,30.0,6865
198,228.87,30.0,6866
199,233.6,30.0,7008
200,238.3,30.0,7149
201,238.33,30.0,7150
202,238.87,30.0,7166
